Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994048,10520,,,,7118,75,,,
China,Western Pacific,99381761,6755,0,,0,122398,8,0,,0
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977775,51255,0,,0,7586,398,1,,1
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9548,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89334,534,,,,1972,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88464,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8650257,49692,42,,42,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
Azerbaijan,Europe,836508,8250,0,,0,10353,102,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Suriname,Americas,82507,14065,,,,1406,240,,,
New Caledonia,Western Pacific,80203,28092,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7985,100,,,,125,2,,,
French Polynesia,Western Pacific,79451,28284,,,,650,231,,,
Liberia,Africa,7932,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
British Virgin Islands,Americas,7644,25280,,,,64,212,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7622513,5912,,,,334818,260,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74508,9473,,,,1302,166,,,
Cook Islands,Western Pacific,7375,41989,,,,2,11,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Belize,Americas,71432,17965,0,,0,688,173,,,
Cyprus,Europe,712997,80292,32,4,32,1364,154,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.77704326E8,4814279.0,6435.0,46.0,6435.0,7093786.0,29476.0,331.0,,331.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68658,248,,,,1428,5,,,
Turks and Caicos Islands,Americas,6846,17682,0,,0,40,103,0,,0
Indonesia,South-East Asia,6830227,2497,,,,162059,59,,,
Poland,Europe,6779092,17859,380,1,380,121016,319,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672812,3142,,,,16907,79,,,
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,650943,16137,0,,0,12283,304,0,,0
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,643241,1182,,,,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6397405,12573,263,1,263,142754,281,6,,6
Mauritania,Africa,63886,1374,,,,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
